Stage,Window,N_Points,ID_Bits,Authentication_Index,Training_Indices,PC,Explained_Variance_Ratio,Cumulative_Explained_Variance
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",54,0.00091831273987634,0.961876060709659
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",55,0.0008923150697867111,0.9627683757794457
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",56,0.0008753727893190531,0.9636437485687648
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",57,0.0008605710262920875,0.9645043195950569
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",58,0.0008193633054514978,0.9653236829005084
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",59,0.0008067564084547666,0.9661304393089631
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",60,0.000779718206166147,0.9669101575151293
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",61,0.000753773949626464,0.9676639314647558
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",62,0.0007102297629598618,0.9683741612277157
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",63,0.0006938253334836982,0.9690679865611994
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",64,0.0006910974160302707,0.9697590839772297
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",1,0.4991844887901723,0.4991844887901723
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",2,0.15778756061717147,0.6569720494073438
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",3,0.039916232748455266,0.696888282155799
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",4,0.038087558713967656,0.7349758408697666
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",5,0.02403156750329793,0.7590074083730646
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",6,0.017879918344030996,0.7768873267170956
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",7,0.016998157925549668,0.7938854846426453
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",8,0.01304228604684449,0.8069277706894898
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",9,0.011757630947217185,0.818685401636707
1_Window_Selection,10k-1000k,500,64,4,"1,2,3,5",10,0.011085073266098646,0.8297704749028056
